treatment,ros
ctl,22.34864
ctl,27.09809
ctl,24.33706
ctl,27.28796
ctl,21.8172
fr,45.91123
fr,42.92969
fr,43.79976
fr,40.9049
fr,48.51354
D26,24.75786
D26,24.52785
D26,25.87402
D26,29.28262
D26,22.27981
D27,38.96353
D27,38.89599
D27,40.87518
D27,36.78025
D27,34.86809
DC3000,45.15157
DC3000,40.38318
DC3000,42.98102
DC3000,46.1982
DC3000,42.00699
bleomycin,32.85475
bleomycin,35.92063
bleomycin,31.15195
bleomycin,30.26958
bleomycin,33.63327
SA,39.35046
SA,38.54381
SA,33.44896
SA,40.20886
SA,36.32941
h2o2,29.91465
h2o2,25.92307
h2o2,25.07856
h2o2,26.72846
h2o2,29.18159
mechanical,26.46551
mechanical,28.33315
mechanical,24.74224
mechanical,20.74032
mechanical,25.49233
