genotype,treatment,ja_response
atm,br,7.031858599
atm,br,10.54377856
atm,br,11.0680279
atm,br,6.889797771
atm,br,12.49622193
atm,col,8.552041397
atm,col,16.46834909
atm,col,15.01438691
atm,col,12.34801
atm,col,10.72228644
atm,ctl,7.347293046
atm,ctl,3.39099415
atm,ctl,2.027581806
atm,ctl,4.26459207
atm,ctl,6.172161891
atm,cvi,11.34188322
atm,cvi,8.769943891
atm,cvi,15.63461013
atm,cvi,14.15701249
atm,cvi,10.58820799
atr,br,8.918643791
atr,br,6.447090854
atr,br,5.539101393
atr,br,7.057230424
atr,br,5.735149054
atr,col,13.95951047
atr,col,9.177112849
atr,col,8.500430303
atr,col,15.96944618
atr,col,12.51270528
atr,ctl,1.89633218
atr,ctl,2.292383642
atr,ctl,4.722648199
atr,ctl,5.02119384
atr,ctl,3.073755993
atr,cvi,14.88046941
atr,cvi,8.138498872
atr,cvi,7.062027488
atr,cvi,5.513888158
atr,cvi,8.436612898
wt,br,12.57302128
wt,br,10.86162981
wt,br,7.78642237
wt,br,6.478976036
wt,br,4.901005841
wt,col,12.38867243
wt,col,18.01716229
wt,col,20.08575065
wt,col,15.43867
wt,col,17.62271816
wt,ctl,5.012947057
wt,ctl,3.363834682
wt,ctl,8.776384475
wt,ctl,2.868015381
wt,ctl,3.390548337
wt,cvi,10.83563635
wt,cvi,7.037571294
wt,cvi,17.7857341
wt,cvi,13.15857766
wt,cvi,9.768249
