treatment,strand,methylation,ros
control,control,control,27.56410256
control,control,control,12.56913022
control,control,control,28.41880342
control,control,control,24.43253468
control,control,control,28.36052836
504s,single,nonCG,42.96235679
504s,single,nonCG,35.12820513
504s,single,nonCG,39.38832252
504s,single,nonCG,43.26923077
504s,single,nonCG,33.24313877
504c,single,nonCG,35.94771242
504c,single,nonCG,36.24260355
504c,single,nonCG,45.74309186
504c,single,nonCG,30.98290598
504c,single,nonCG,40.48582996
504ds,double,nonCG,46.72364672
504ds,double,nonCG,30.31451307
504ds,double,nonCG,49.580751
504ds,double,nonCG,39.04873752
504ds,double,nonCG,41.27052723
2006s,single,CG,39.65599618
2006s,single,CG,34.68208092
2006s,single,CG,48.00462695
2006s,single,CG,38.85003885
2006s,single,CG,44.59002536
2006c,single,CG,50.75876504
2006c,single,CG,38.46153846
2006c,single,CG,47.03429101
2006c,single,CG,38.83677298
2006c,single,CG,37.03041145
2006ds,double,CG,46.93611473
2006ds,double,CG,40.4305592
2006ds,double,CG,37.74928775
2006ds,double,CG,38.66612111
2006ds,double,CG,46.2091865
